representation,split,split_type,model,mae,brier,spearman_rho,kl
grambank_s42_B,family_Uralic,family,zero_order_0.5,0.3498685503244127,0.14509476801241838,,0.3607520632527484
grambank_s42_B,family_Uralic,family,majority_per_config,0.2675065062286921,0.12212614797166248,0.29852562217962025,0.31042102437880587
grambank_s42_B,family_Uralic,family,family_mean,0.2675065062286921,0.12212614797166248,0.29852562217962025,0.31042102437880587
grambank_s42_B,family_Uralic,family,mlp,0.3284261175354811,0.17733624436943352,0.01529277896329354,0.4792521912199153
grambank_s42_B,family_Dravidian,family,zero_order_0.5,0.4801244830950946,0.23490214403226817,,0.6372856619416627
grambank_s42_B,family_Dravidian,family,majority_per_config,0.5342267399900503,0.34346822194271726,-0.080725831124724,0.8998269710747252
grambank_s42_B,family_Dravidian,family,family_mean,0.5342267399900503,0.34346822194271726,-0.080725831124724,0.8998269710747252
grambank_s42_B,family_Dravidian,family,mlp,0.5328001133714965,0.3489844040415883,-0.20309674159132338,0.9160312975798597
grambank_s42_B,value_No_dom_order,value,zero_order_0.5,,,,
grambank_s42_B,value_No_dom_order,value,majority_per_config,,,,
grambank_s42_B,value_No_dom_order,value,family_mean,,,,
grambank_s42_B,value_No_dom_order,value,mlp,,,,
grambank_s42_B,value_No_dom_order_VOS_OVS,value,zero_order_0.5,,,,
grambank_s42_B,value_No_dom_order_VOS_OVS,value,majority_per_config,,,,
grambank_s42_B,value_No_dom_order_VOS_OVS,value,family_mean,,,,
grambank_s42_B,value_No_dom_order_VOS_OVS,value,mlp,,,,
grambank_s42_C,A_random,A,zero_order_0.5,0.3881195317158137,0.16845700171892558,,0.4313020846576995
grambank_s42_C,A_random,A,majority_per_config,0.25993669175115125,0.10607793793218226,0.41696565444513173,0.2995248403366718
grambank_s42_C,A_random,A,family_mean,0.19312965103555282,0.08969250969799492,0.6296859882749494,0.27771730973884357
grambank_s42_C,A_random,A,mlp,0.36381313087533257,0.15499675006650324,0.48700491179800043,0.4040030114303228
