glottocode,family_id,source
kair1263,aust1307,grambank
kala1377,pama1250,grambank
kala1384,atla1278,grambank
kala1388,aust1307,grambank
kala1399,eski1264,grambank
kala1400,kala1402,grambank
kali1308,sali1255,grambank
kalk1246,pama1250,grambank
kalm1243,mong1349,grambank
kalu1248,bosa1245,grambank
kama1367,nucl1708,grambank
kama1370,nucl1709,grambank
kama1378,ural1272,grambank
kamb1297,atla1278,grambank
kamb1299,aust1307,grambank
kamb1316,afro1255,grambank
kamm1249,atla1278,grambank
kamo1255,nucl1709,grambank
kamu1260,kamu1264,grambank
kana1286,aust1307,grambank
kana1288,daga1274,grambank
kani1286,nucl1709,grambank
kank1243,aust1307,grambank
kaon1241,atla1278,grambank
kapi1249,aust1307,grambank
kaqc1270,maya1287,grambank
kara1476,pama1250,grambank
kara1482,cent2225,grambank
kara1486,aust1307,grambank
kara1487,aust1307,grambank
kara1499,west2604,grambank
kara1500,nucl1710,grambank
karb1241,sino1245,grambank
kare1338,atla1278,grambank
kari1306,atla1278,grambank
kari1311,tupi1275,grambank
kark1258,pauw1244,grambank
karn1252,aust1307,grambank
kash1277,indo1319,grambank
kask1239,atha1245,grambank
katb1237,aust1307,grambank
kats1235,sino1245,grambank
katu1276,katu1274,grambank
kaul1240,aust1307,grambank
kaur1267,pama1250,grambank
kaur1271,kaur1274,grambank
kava1241,aust1307,grambank
kawa1283,utoa1244,grambank
kawi1241,aust1307,grambank
kaya1315,sino1245,grambank
kaya1319,tang1340,grambank
keap1239,aust1307,grambank
keda1252,aust1307,grambank
keig1242,kadu1256,grambank
kele1255,atla1278,grambank
kele1258,aust1307,grambank
kele1259,aust1307,grambank
kelo1247,timo1261,grambank
kemb1249,aust1307,grambank
keme1240,atla1278,grambank
keng1240,cent2225,grambank
kens1248,aust1305,grambank
kenu1236,nubi1251,grambank
keoo1238,aust1307,grambank
kera1248,atla1278,grambank
kera1255,afro1255,grambank
keri1250,aust1307,grambank
kesa1244,nucl1709,grambank
kett1243,yeni1252,grambank
kgal1244,atla1278,grambank
khak1248,turk1311,grambank
khal1275,sino1245,grambank
kham1282,sino1245,grambank
khan1274,aust1305,grambank
khan1277,sino1245,grambank
khan1278,atla1278,grambank
khar1287,aust1305,grambank
khar1288,sino1245,grambank
khas1269,aust1305,grambank
khez1235,sino1245,grambank
khin1240,nakh1245,grambank
khmu1256,aust1305,grambank
khum1248,sino1245,grambank
khva1239,nakh1245,grambank
kich1262,maya1287,grambank
kiku1240,atla1278,grambank
kile1243,tung1282,grambank
kili1267,aust1307,grambank
kima1244,aust1307,grambank
kima1246,kolo1268,grambank
kimm1245,hmon1336,grambank
kimm1246,atla1278,grambank
kina1250,aust1307,grambank
kinn1249,sino1245,grambank
kiow1266,kiow1265,grambank
kips1239,nilo1247,grambank
kobo1249,nucl1709,grambank
koda1255,drav1251,grambank
koho1244,aust1305,grambank
koir1240,sino1245,grambank
koit1244,koia1260,grambank
koka1244,pama1250,grambank
koko1269,aust1307,grambank
